#,Source,Company,Title,Published,URL,LLM Extract,Newsletter Section (index),Status,Notes
84,BSE,Repco Home Finance,Appointment of Internal Auditor,2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a50e2481-4e04-4f56-aac5-afefc297994a.pdf,,(dropped),Dropped — Operational gate,missing_required_field
85,BSE,Repco Home Finance,Audited Financial results for period ended 31.03.2026,2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d12c1be8-5500-4d48-bb46-37c1973167df.pdf,,(dropped),Dropped — Routine / Other,
86,BSE,Repco Home Finance,Investor Presentation on financial results for FY ended 31.03.2026,2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9e514782-193a-4411-bf54-7b9b4a4e12eb.pdf,,(dropped),Dropped — Routine / Other,
87,BSE,Repco Home Finance,Press release of audited financial results for FY 2025-26,2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b103724c-668f-4261-95c8-fda9ce89b7b1.pdf,,(dropped),Dropped — Routine / Other,
88,BSE,Repco Home Finance,"Submission of half yearly disclosure on related party transactions for the half year ended 31st march, 2026",2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e4d77ac5-1938-417e-9ba5-ad0edb5d218d.pdf,,(dropped),Dropped — Routine / Other,
89,BSE,Repco Home Finance,"Outcome of Board meeting, submission of Audited Standalone and Consolidated Financial Results of the company for the quarter and financial year ended 31st March, 2026, recommendation of final dividend for financial year 2025-26, fund raising and other approvals",2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1a05879b-2312-4831-88fa-5625d257cd1f.pdf,,Competitor Intelligence — Funding & Capital,Kept,
90,BSE,Repco Home Finance,Outcome of Earnings Call hosted by the Company on 22.05.2026 to discuss Audited Financial Results for the quarter and year ended 31st March 2026,2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b96225ca-26bb-43f9-bfc6-f396dcf71c04.pdf,,(dropped),Dropped — Routine / Other,
91,BSE,Repco Home Finance,"Cancellation of Investor Conference scheduled on 27th May, 2026",2026-05-23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/09a5e80c-b042-4d86-9442-1a168586c6a7.pdf,,(dropped),Dropped — Routine / Other,
92,BSE,Repco Home Finance,Newspaper Publication of Audited Financial results for the quarter and year ended 31st March 2026,2026-05-23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e46355ba-6149-42b7-bc74-a5593f3053c6.pdf,,(dropped),Dropped — Routine / Other,
93,BSE,Repco Home Finance,"Transcript of earnings conference call held on 22nd May, 2026",2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8782bbc3-387c-4830-94e1-6ae098ec4f6d.pdf,,(dropped),Dropped — Routine / Other,
94,BSE,Repco Home Finance,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Bandhan Mutual Fund",2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2256283A_872F_4AD5_85B4_F0C92DC54782_101028.pdf,,(dropped),Dropped — Routine / Other,
95,BSE,Shriram Housing Finance,"Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulation, 2018, the details of share certificates are as per letter dated May 20, 2026 is attached herewith.",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/02608ad2-ffee-4b51-833f-b0c1a2d443be.pdf,,(dropped),Dropped — Routine / Other,
96,BSE,Shriram Housing Finance,"Sub.: Disclosure pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 (SEBI Listing Regulations, 2015).

Pursuant to Regulation 30 of the SEBI Listing Regulations, 2015, read with Schedule III thereto, this is informing that Fund/ Analysts/ Institutional Investor/ Broker/Broker Conference /meeting is scheduled to be held on Monday, June 1 2026, which will be ....",2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0dbcc93d-fbda-49ce-b6b0-93bd8989f65e.pdf,,Competitor Intelligence — Risk & Governance,Kept,
97,BSE,Shriram Housing Finance,"Annual Secretarial Compliance Report for the Financial Year Ended March 31,2026.",2026-05-28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c119a69f-a54a-4290-853a-e089eea42596.pdf,,Competitor Intelligence — Risk & Governance,Kept,
98,BSE,Shriram Housing Finance,"Pursuant to Regulation 30 of the SEBI Listing Regulations, 2015, read with Schedule III thereto, we hereby inform that Fund/ Analysts/Institutional Investor/Broker/Broker Conference /meeting is scheduled to be held on Wednesday, June 3 2026, which will be attended by the senior management/ management personnel of the Company.

The discussion will be based on investor presentation and public domain disclosures.

In accordance with the said Regulation(s), ....",2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4c07c461-61af-4d2c-b8d0-a625c6a0d87e.pdf,,(dropped),Dropped — Operational gate,missing_required_field
99,BSE,Tata Capital Housing Finance,Tata Capital Limited has informed the Exchange regarding Schedule of Analyst / Institutional Investor Meeting.,2026-05-19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/712b8272-f075-45ba-ab80-06a6e6a40b93.pdf,,(dropped),Dropped — Routine / Other,
100,BSE,Tata Capital Housing Finance,Tata Capital Limited has informed the Exchange regarding allotment of Non - Convertible Debentures,2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/db99b4d2-cd24-4f11-989b-5a97af1c732e.pdf,,Competitor Intelligence — Funding & Capital,Kept,
101,BSE,Tata Capital Housing Finance,Tata Capital Limited has informed the Exchange regarding Secretarial Compliance Report for the Financial Year 2025-26.,2026-05-25,https://www.bseindia.com/xml-data/corpfiling/AttachLive/00115115-64fc-4abb-a7ea-3d01c7e03439.pdf,,Competitor Intelligence — Risk & Governance,Kept,
102,News (BusinessLine),Aditya Birla Housing Finance,"Gold loans jump over 50% y-o-y, drive India's retail credit growth: Report",2026-05-20T09:37:42Z,https://www.thehindubusinessline.com/money-and-banking/gold-loans-jump-over-50-y-o-y-drive-indias-retail-credit-growth-report/article71001499.ece,,(dropped),Scored but not selected,
103,News (BusinessLine),Bajaj Finserv Home Loans,"Sensex today | Stock Market Highlights: Sensex closes flat, Nifty ends at 23,650 as Iran war worries offset IT gains",2026-05-18T10:32:45Z,https://www.thehindubusinessline.com/markets/sensex-nifty50-today-stock-market-highlights-18th-may-2026/article70990074.ece,,(dropped),Scored but not selected,
104,News (BusinessLine),Bajaj Finserv Home Loans,"Sensex today | Stock Market Highlights: Sensex jumps over 1,000 points as easing crude prices lift Nifty above 24,000",2026-05-25T10:30:18Z,https://www.thehindubusinessline.com/markets/sensex-nifty50-today-stock-market-highlights-25th-may-2026/article71018298.ece,,(dropped),Scored but not selected,
105,News (BusinessLine),HDFC Ltd,Should investors buy HDFC Bank now?,2026-05-23T16:49:07Z,https://www.thehindubusinessline.com/portfolio/stock-fundamental-analysis-india/should-investors-buy-hdfc-bank-now/article71007841.ece,,Competitor Intelligence (via news),Signal-tagged but not selected,
106,News (BusinessLine),Indian Housing Finance Industry,"Q4 Results Today Live: Linde India, Patanjali Foods, Gujarat Gas, PTC Ind, Jupiter Wagons, Titagarh Rail Systems, Jindal Poly Films, Steelcast, Easy Trip to announce Q4 results",2026-05-30T03:07:37Z,https://www.thehindubusinessline.com/markets/stock-markets/q4-results-today-live-updates-linde-india-patanjali-foods-gujarat-gas-ptc-ind-jupiter-wagons-titagarh-rail-systems-jindal-poly-films-steelcast-easy-trip-planners-results-results-30-may-2026/article71040136.ece,,(dropped),"Fetched, not processed",
107,News (BusinessLine),Indian Housing Finance Industry,"Q4 results highlights today: IREDA, Triveni Engg, Gujarat Energy profit dips, Zara India revenue slips; Tilaknagar, Genesys, Univastu and Veranda Learning shine",2026-05-30T16:49:51Z,https://www.thehindubusinessline.com/markets/stock-markets/q4-results-highlights-today-live-updates-linde-india-patanjali-foods-gujarat-gas-ptc-ind-jupiter-wagons-titagarh-rail-systems-jindal-poly-films-steelcast-easy-trip-planners-results-results-30-may-2026/article71040136.ece,,(dropped),"Fetched, not processed",
108,News (BusinessLine),LIC Housing Finance,"The Latest Home Loan Interest Rates: May 22, 2026",2026-05-22T13:30:45Z,https://www.thehindubusinessline.com/money-and-banking/the-latest-home-loan-interest-rates-may-22-2026/article64808517.ece,,Competitor Intelligence (via news),Signal-tagged but not selected,
109,News (BusinessLine),LIC Housing Finance,"The Latest Home Loan Interest Rates: May 29, 2026",2026-05-29T13:30:10Z,https://www.thehindubusinessline.com/money-and-banking/the-latest-home-loan-interest-rates-may-29-2026/article64808517.ece,,(dropped),Scored but not selected,
110,News (BusinessLine),Repco Home Finance,"Q4 Results Today Live: LIC, ITC, Max Healthcare, LG Electronics, GAIL, Aurobindo Pharma, Welspun Corp, Sun TV, JSW Cement, Dr Agarwals, Honasa Consumer, RPower, WeWork to announce Q4 results, Grasim Industries, Ola Electric, Honeywell, Bosch, Apollo Hospitals, Lenskart, Samvardhana in focus",2026-05-21T03:30:37Z,https://www.thehindubusinessline.com/markets/q4-results-today-live-updates-lic-itc-max-healthcare-lg-electronics-gail-aurobindo-pharma-suntv-jsw-cement-dr-agarwals-honasa-consumer-reliance-power-grasim-ola-results-21-may-2026/article71001587.ece,,Competitor Intelligence (via news),Signal-tagged but not selected,
111,News (BusinessLine),Repco Home Finance,Repco Home Finance Q4 net profit rises to ₹129 crore driven by disbursements,2026-05-22T12:59:29Z,https://www.thehindubusinessline.com/money-and-banking/repco-home-finance-q4-net-profit-rises-to-129-crore-driven-by-disbursements/article71010824.ece,,Competitor Intelligence (via news),Signal-tagged but not selected,
112,News (Economictimes.com),Aavas Financiers,"​IndusInd Bank, Max Health among 10 stocks that saw highest increase in DII holdings in Q4. Do you own any?",2026-05-19T03:39:50Z,https://m.economictimes.com/markets/stocks/news/indusind-bank-max-health-among-10-stocks-that-saw-highest-increase-in-dii-holdings-in-q4-do-you-own-any/dii-darlings/slideshow/131190013.cms,,Competitor Intelligence (via news),Signal-tagged but not selected,
113,News (Economictimes.com),Home First Finance,"​Bandhan Bank, Urban Company among 18 smallcaps where promoters decreased their stakes in Q4",2026-05-20T05:57:32Z,https://m.economictimes.com/markets/stocks/news/bandhan-bank-urban-company-among-18-smallcaps-where-promoters-decreased-their-stakes-in-q4/stake-play/slideshow/131218277.cms,,Competitor Intelligence (via news),Signal-tagged but not selected,
114,News (Financial Post),Cholamandalam Investment,Cholamandalam to Sell Largest Floater Bond By Indian Lender,2026-05-19T11:14:49Z,https://financialpost.com/pmn/business-pmn/cholamandalam-to-sell-largest-floater-bond-by-indian-lender,,Competitor Intelligence (via news),Signal-tagged but not selected,
115,NHB,Industry,How to fill Pradhan Mantri Awas Yojana form online and offline 2026? - housing.com,2026-05-29,https://news.google.com/rss/articles/CBMieEFVX3lxTE13Vm1WYklEVFVQbm9xaHJBTFJJaThNTDl4NjJCdmx5a18wbHlhLXF6REgydWNCSjVMbllLbmV1RzVoNEFrVnJKcEpZS3NOVGdyaU1BTmlJdkNsSFBrSDdDWVNzQVVLR0wwdGtxV1I2S0ZoT1NpcW1lctIBfkFVX3lxTFAwNGo1OEF3Wk1fV29EeHFiblFrS016bjZYVmZkSzJvWExtdHFPT2h0ZjBKbEF1UTJhVURvUnFEWlZhNXkzRllYUDVoVU1ReEQtRU4wQUVZamFiRnZ1c3dmVnF3bkk0V2pEVUthVlpvbng1WHFlZHNzeEdEOEZlQQ?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
116,RBI,Industry,Is this the best time to buy a home? Expert shares reasons property might be more affordable in 2026 - The Times of India,2026-05-25,https://news.google.com/rss/articles/CBMiigJBVV95cUxOX1NvRndaRlR5NWNnZVNZWlY4VkY3SnNqTUJucGNEOWpfaTRkVVd3Z0NkY0dxc0E2bUw0YzJRaTlEcC1RaW1FanZMeGpsVGxFcXJla3hPZlhqOXYzdGMxMEN2ZVJULUczdldoaWhISVFESTRhNlF3THp4YzNlS0J1UmM1Q1Z2MTBEaDZFUHEyc0h3NU9temV1M0pyX2J0WVJ6d19IY19qdTNObFlOVGcxem9WdVA5ZDhxY2l0ZmRIRjFvMmxMNWQ0aUFBUTRoaHZnVTlsYzROZG40RldUZHoydmJYRUI1WE5SOS1UWXc3b0ZTQVlnVUgzQUh3VzlPWC1sTnczRGJpYmgwd9IBjwJBVV95cUxOelgxQUZvYzBwdk9URkFULWZ2R1ZpdVVMNGt2Z04zVGlJYW9OYzBoVEpFVE1ZTjlGbGo3elNCSTFLWUVfenREOFljc0dSQTVLcXhtU2l6cFpsVm5IbUh4dmlSM0REUjNrOTBpTWtBa2dvazR4X1pTenJld1VYbzBxaUttTkZrX3JoQW1ZODc3NURibUw4VFZPTEplZmVBZlhndjYzRlhjVHQxYlgxNXFJT3dzLTlFQmxpeGNfelg5RnZpcFdYazJZT3pSTDMwNzJqdlBRQ3VKOGN4U0pYdWo4VHZIakxtLWtRbkFqVkdtTlpkRTVVcGtKenBtMk1wbHo1RVp5Q0NMU0M2ZnE2by04?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
117,RBI,Industry,RBI tightens norms for re-appointment of directors on UCB boards - The Economic Times,2026-05-25,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPakgxbnNLT0xOaU1MR2JLaWd5c0Q2TnJOVVV3c3FxZnZDbXJSZ2F5SjBHbWVRdlpTMEZ5allJdzZBZllYUEdnM1ZidVdaOXhiNF81TjB4UFhYVmdWTzl4NmRYaW5ZamVWTnVabEJMRklwMi1oa1FCWG9TOE4zNEp6T1NWOU81OWVJY0pvT2Fmb0RWX1hnc3p3SXZEcXdwN0V1X0RGeXZyY05qNmZxQ3BqaFFES04xYlZSUm1VZlNxSnlYVW4yVTg0ckgtcUhpRmprWm91WFgwbTlyd2U0a0UtUWVMMV9rQdIB6wFBVV95cUxPckYtV3BHRkVkdU5lQ2dEYVlkVldINEZTZ19DRm81S1c0NXB2aFlPNTN2QXB0Q1V1U2R1cVgtQmFuMWR5NUdral9QM19PTTlJanMtNC1RRjJXWFJQR1dLS3k4ZFdTOG40bENTNTloWi1MSDFpNkN4QlM5ZXdqT3hnYkF1NXZHTXNMYkxLR01LZ3kyWVVBQXZFUVhJOHNJcFhpQmxFalNJZWVKTkdtR3BLUldFN1dqdW5iMF9FYlMyYTdTMXJrcnBFb3plYno3N2hGOG56R3dHd1ljSHJjMW1YUmZOc1VxQVh5dXE4?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
118,RBI,Industry,"LIC HFL Exam Date 2026 Out, Online Exam Scheduled for 6 June - Adda247",2026-05-26,https://news.google.com/rss/articles/CBMiZEFVX3lxTE5QbEdvRzRDdG50ejFCaXpqOG5MZGN1aGUwOXBSZ0NndmEyVENDcDdrbXFVU3Fxcm5xNWlsbk1YUzNVRXE3RW1JajBFclQxVktacUhRTjBhYTFpb1Z6RjFrRGRTTzE?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
119,RBI,Industry,Financialisation of Indian households: Trends in savings and borrowing - Ideas for India,2026-05-26,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNUXNVNk9taERvaGQ5bXE5WUpBd3VxNUFCQ1NxUjBpekUyZGZrMVYyQktXc1hCU0JiYlFxVDNwMkNpSVY5MlM5Rk50bTNVQ0dXbWJvRnNxT1J3SEhEeEFVOVZqajRQSm1STzA1THVkaTJiSVFTSnB1ZVZVNGtUdmFMdnZicDNJNlhEckVYdUFhZ3ZVdEFuVUU2Z1F5R3hFV2RQaUxqQ0swV1dFVDFzVjJKMVFudy1DS2Zic1NJ?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
120,RBI,Industry,How RBI's Policy Pause Sent Rate-Sensitive Stocks in Two Opposite Directions on the Same Day - HDFC Sky,2026-05-26,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNQ2RPc1JIZDRZSXBWTFliR1ZRQWd5Z185LVZNS1J2RERTSG1sVThwbnk3TkdxTXpEcHhXanRYb01JVHpSY056bVRFWGNmSjdvdndQZkRlS2RWeTluUVgxQVlHRWY4bU5jV2RrOS1NSVRhMXNRNE53c1Q2NW5udS1NQUQxV1EzcUJyV3RWZWExbGwzdmkxNldsMWI3YmlSQmN1TlkzTDQ3N0FyRC1sVDY1QTBDa3ZzT2FPU19Z?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
121,RBI,Industry,India’s real estate sector to need ₹50 lakh crore capital over next decade: Report - Fortune India,2026-05-26,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOMzJ1TkIwSnRYQldma1pYQnB2VWpVbzZNZk41NXFsOUxWd1o0SG4zRld2UVZKN2FDanNhSXFQV05mZDY5Zk54Y1F4ZUwxS0NCX2c4Vmh3Uk83VmZ5UDMwbDByWnFfalVuVlo2V2M2M0xzZWw2d3F0RVdWeTA5bGtNUTZ2dHJWRkJkRlN1UkRyNXZKaGxUYjFkWnhQeGhTVUFMb1BWOXNJUEdzd3FlZXdrTS1uMXJZYmh6WGZhY1NLcWhGUFFzeFFMOdIB1gFBVV95cUxPZ0g3U3VIWloxb2NzNWRySWEyeGo2NVFsVWM4d2lOMTI5NXB5OThWeXp5UHFKdHhBUEZpLXFCTWpqX3ZLUXRlN2w5dDU0SzVWZ01FRVRMWTBQR1FVWEFVOExhNDRvdG4xcUpQbnRqUDhTQmZQNnNWQVNyeW52ZE0xZkEwRURrSWlHaVZReVlpMU5vVks0WENQMk5uX3A4eDhZUlROeWFUUDEtaUV2QlNUajYxZWMySjFyTmZaUXNDVVVDOVFQenBjQWNBY3pjaHpZQ2NiVS1R?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
122,RBI,Industry,"Bond won't help this time: Why RBI should hike interest rate, instead of unleashing forex mobilisation sch - The Economic Times",2026-05-26,https://news.google.com/rss/articles/CBMipAJBVV95cUxQU1VDZVllb1VONkFqYlc1YVJ5N3NFV19sNVN1Ui1BQXJwbTRybllqSHdWdXFhVmR4d1g5UGtscnFhQ1RjdEJJNTJhaWpTQ2RtYzZ0b3NfRHd2OHA2cnpqNWZmS1FFNHlKUmRpV24tcWRUa3lfMWc4VVB5VXJ2LUhtRTB3ZUpvY1o5MFpkNGx4ZzVybUZCOXpTZmlyTkxpaGdMay1tTGJSRlREREJQc2tGamJHamlTX2VpNm1zbHkwY3dQWTVxY0owM0JncG1Ca0VlVGJyVzZNa0Y1Y2tGNjZ4OUt6X001djBFQ0lacnphNFpkQzB1YmJ1SVVRbl9BR21hVVRLVnNwNUh3YWpXMlVDcjM1R2Z2Qmx6U1dhZm4xTlBLcHdC0gGqAkFVX3lxTE84dWswUEQxOUZ0eFFEWTlpeUtMNl9VSHpQNTlxMndZRngwVEU1U0QtS0NOS0hNUXR3Yy1oZ05IMEZqeHprX1VvazlCWmNvVTlDVDhic3hPM3pCWmExSlFLSDkxcVFMeDhiaXIwejA3MDExNXBlRS1NZXVkdEt2UUtYdW5WbFY1WWFqM25MZVZOeFNmTkhlRzg4b3BsTkdmYXBQR21xZWNpYXFJdlY0djNZcFJiM0xTbTU5UkRxRGZGenp3aVFuN1dybndXMUVxS3g5eFE5UGRfM2R3WUJ2VzN5bDJXdzRuRjRYTDVNcHpCMUpIb3c4RGFIWVZnS0MzRnpYVzhNck45b0NqcC04WVVDVzhBNW9ZWVRncTVtN24ycHNwNE54TndWUWc?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
123,RBI,Industry,RBI Holds Repo Rate at 5.25 Percent: Realty Sector Sees Stability Anchoring Demand - India's News.Net,2026-05-26,https://news.google.com/rss/articles/CBMivwFBVV95cUxPOFFhRFBhYS1hSmlVbnRuZlphRHkxRDBweUswZW5hcUpiQ3RpM09odFI2bHRCcVExOC1kbXlvQk41ZUdZMHVndzZRVlNzVG5IT3drbkFRVDY3R05JaF9OMkhKYktmUUxSM1JKR1RRUEJoUk0tbHBGSDZ5d1R0dkZjRFhBVVkyeFJtaXlEU3NnWVNRbUJaLVduX1I3YlY5TnBMRnBqU3dzZkx0dWlIaGpTQTk3dkhNNjZfWUU5OWhsTQ?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
124,RBI,Industry,"LIC HFL Junior Assistant Exam Date 2026 Out, Check Official Schedule (180 Posts) - Career Power",2026-05-26,https://news.google.com/rss/articles/CBMiYEFVX3lxTE8xZ280ei1wRlVES1l3bnpJZEZ6ZUVsM0p3Y21mcGN1YlZRVXpqcHR3dVIxTmJvWDV4N1JPNGRMN1ZMeGFWYlUxeDg4UWxLSmU5OVRXZDhodnNPb3dtamg4bA?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
125,RBI,Industry,Bajaj Housing Finance Limited's Sambhav Home Loan Offers Eligible Homebuyers to Explore PMAY-U 2.0 Benefits - Big News Network.com,2026-05-26,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNMFJrMmx6ZXFyM0VUaGRiODZSd3I3V09ROGlVTnM2NWZzZ29OMGZZeTlSdndnYkJjaEprUFBpUlZjek5JREVwNTRqT0RWeWpUeVR2LWRkVWszUkJrY1hGMFN1SEowSjhBT1E0aXZERkVIaEZmUEtZZFowQ0V6V0hveTduLXNUUUZ0cEM5cnRsLVFKS1BnYV9PQ28tTWFtcERSSkdwOXFVbXdtamZmM1NPSlU5ejlGeWxHWEQwSHUzLTNaaTh2MUZZNjRPMUtZVUtOZGVCam5rOFpsSjRZQmhhbkxLOFk?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
126,RBI,Industry,Public party - outlookbusiness.com,2026-05-28,https://news.google.com/rss/articles/CBMigAFBVV95cUxQRFVEOXJTVENMa0ZiRXFoU1VIM2gyS0JyRVUxaFJONExqU3p0NWdqS05xcHVGQjJTUTdSMHdxbk9IOEQ1am91dE54ZmpnLUROQlU0SWtFamUzQVZuQ2hoVmIyQ2ZMVW5jZlZmU3NQdUE3NGtLZUVlSl9WWXlxS3pmbtIBgAFBVV95cUxQRFVEOXJTVENMa0ZiRXFoU1VIM2gyS0JyRVUxaFJONExqU3p0NWdqS05xcHVGQjJTUTdSMHdxbk9IOEQ1am91dE54ZmpnLUROQlU0SWtFamUzQVZuQ2hoVmIyQ2ZMVW5jZlZmU3NQdUE3NGtLZUVlSl9WWXlxS3pmbg?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
127,RBI,Industry,Housing Price Index Rises 4.2% in Q4 FY26: RBI - Rediff MoneyWiz,2026-05-29,https://news.google.com/rss/articles/CBMiogFBVV95cUxPMV82cFR6N3E5dERWNWdyRU1IOVhiVGpVWmZJWmh5d0hTb0xIeUI2MmtIVTE3VVhPTmhPaldFNHdRTGVpbmRhTTFGbS1TTDA0clVtdTVjSmt0aGR2TnR5a2RkQ254bWlsbV9BYTlpdFlrSGE0YVM2UnpoX1g4cDJlRXhkTzRlVTJVbkMwazZId3NNT3Q2VUhBWl9HZl9wRGNubHfSAaIBQVVfeXFMTzFfNnBUejdxOXREVjVnckVNSDlYYlRqVVpmSVpoeXdIU29MSHlCNjJrSFUxN1VYT05oT2pXRTR3UUxlaW5kYU0xRm0tU0wwNHJVbXU1Y0prdGhkdk50eWtkZENueG1pbG1fQWE5aXRZa0hhNGFTNlJ6aF9YOHAyZUV4ZE80ZVUyVW5DMGs2SHdzTU90NlVIQVpfR2ZfcERjbmx3?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
128,RBI,Industry,Credit to industry rises at faster 15.1% in April: RBI data - Deccan Herald,2026-05-29,https://news.google.com/rss/articles/CBMipAFBVV95cUxPTElmLVBXWWNiMHpyRGU4djVXNHhpU3ZwenJHdEJMcExjQW14NGZtQVBRLVZTdkhLNnZabVdwcU43c01oY1NWRWdJNGRJWTZ2eHUyQkFYeGpvNHNHZXpyajV6SXA2WU9CSnZIQm5Vd0gxQmxsampBLTQ0QW9rdVFXZDFMM2tHeDg4clpQZWFwUDBlNHlwdEZNeHVueUtWbnBDTTRYTA?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
129,RBI,Industry,Industrial Credit Growth Surges to 15.1% in April: RBI Report - Devdiscourse,2026-05-29,https://news.google.com/rss/articles/CBMisgFBVV95cUxPT3F1WWFwT1BEMVByZkJhc1g5NG5RcEpmUGVnMUY5V1E5ZXRXdkU0YlNYakxNclJ0OWJ4cERIRVdFNXRDWXJnMEphT09CejVpcFMyWFlZOUtUU01CWnFmVHp5MWhXTG1ta0FvWnlxNlJYUmxpRkhZVTEzX1ZOTXZUd04xRUdRMEtBejRfMWFLUUxmSzFWcW02U3pUWURYUGdzQlFYNkctR29WbUNqQzdqRjJB0gG3AUFVX3lxTE9NWG0wdzgwOWM3MXB6RmJlcHdrdEg1QXNJYmlVQy05LXZRbmM3d19OajhqaDdGeDNyalg4aU1yX25OTjVFVkxxMmFVVW1zWlA3d1k2VFUwejdNTHNSbWlKVW01RG5Bd00zaC1CWWVnTU9jQVBNczMzUG1SZkhTZ0NEcENSU01WZTNTQURIMEE0V0FUVmZtWmJxV2JoZkt0SkJFaHlUTjdEeTV4UzV4N0VoOEhYUUktaw?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
130,RBI,Industry,India’s Real Estate Sector to Require Rs 50 Trillion Capital Over Next Decade - Realty Today,2026-05-29,https://news.google.com/rss/articles/CBMiugFBVV95cUxPTmJORXZSaER0clp3Zm9yQ1lRN2ZuVEpHcE5icjVMRUdLVjJ5a3c3V1VOUHE3TVI1dVRQQzJwVlZqQjd4ZUtoNm1VOUdkckxnRFByZ1o4SzB4RlRCajdZMmJZRG5hSFBUWWtZMFQ3a3ZFOF9HdWVHeldiOXczVUFiMjVWOGhrcDJfSURidDMybXJxR09fN0ZGTUk3STZBME5YcHB0S0dLLS04UWswNHZDMlMtaEtXVXhJQWc?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
131,RBI,Industry,Star Housing Finance Q3 Results - Mint,2026-05-29,https://news.google.com/rss/articles/CBMijgFBVV95cUxPbjhhU1A2R09UTTFrWUpQMlFYaFUtcm83NEZGczRad3htZ28xc0ctUGNKTnNmTlFXNmZqb19YeGpMcG9zSWs1N3RGVjJxWlIxZENsaFhDR3VDQ0czVmphdE83RUVEOGtRTFVGMVU3SDMyeDdWLWt2TnR5ZEE0YUVYUGVzVjVlLXMwTERRcGlR?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
132,RBI,Industry,Banks Credit Grows 16% YoY In April - NDTV Profit,2026-05-29,https://news.google.com/rss/articles/CBMihgFBVV95cUxONjNUWVBMZmVBaTBhOUJaT2l5NzhyQWpjT0wtbVU4SnpORUk0dWxMRHg4X3ZJUTNVTzBRbE1xWDQ2eWNYdXlzSEJYTmN6ZlpNSWdWX0VDb2RvdU1XOHBlZlZzU050bG9FWTZpY2JqclE2TzVpSEhGVFZiSzBUWlowb0kyWmttQdIBjgFBVV95cUxOdXd4MVVBLWZ2LWJVaU0ydnZXX0FoTU5WcldINlpOTkJZQlJKOXF6dWJSWl9WOUxjSWxJSFZ0MjBQNVYtU3pKV09nMmprRnhaTFlVUFJfd1hxVk5ZSWZDb0JCT3MyODlpdXE1Z0k2SEpFeTRFRzJSV2dVdE5fVE9FNWNmbGdSTmJYQVlHcnhR?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
