#,Source,Company,Title,Published,URL,LLM Extract,Newsletter Section (index),Status,Notes
85,BSE,Shriram Housing Finance,"Intimation under Regulation 30 of the SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015- Newspaper Advertisement.
 In terms of Regulation 30 of the SEBI (Listing Obligation and Disclosure Requirements ) Regulations, 2015, we are attaching the copy of advertisement published in the Newspaper in all editions of Financials Express (English Language) and Makkal Kural (Tamil Language), on May  14, 2026 with respect to public notice ....",2026-05-14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/25c562a1-8b88-4428-a6c0-093c5b153999.pdf,,(dropped),Dropped — Routine / Other,
86,BSE,Tata Capital Housing Finance,Intimation of Notice of Postal Ballot under Regulations 30 and 50(2) of SEBI LODR Regulations.,2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b47d6f8d-7a46-4274-aa23-b135ff842663.pdf,,(intended) Governance,Dropped — Materiality cap,
87,BSE,Tata Capital Housing Finance,Disclosure under Regulation 30 of SEBI LODR Regulations - Resignation of Senior Management Personnel of the Company,2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b4d41b18-8f79-45e1-83f9-a0b68e402956.pdf,,(intended) Management Change,Dropped — Materiality cap,
88,BSE,Tata Capital Housing Finance,Newspaper Publication for Postal Ballot Notice.,2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7d370121-c36e-4d44-9a66-8093f7152fdf.pdf,,(dropped),Dropped — Routine / Other,
89,BSE,Tata Capital Housing Finance,Change in Senior Management Personnel of the Company,2026-05-09,https://www.bseindia.com/xml-data/corpfiling/AttachLive/41894dad-6831-48d8-9036-7075f03dd71e.pdf,,Competitor Intelligence — Operational Signals,Kept,Mr. Sandeep Suhasaria · Role Change · 2026-05-11
90,BSE,Tata Capital Housing Finance,Tata Capital Limited has informed the Exchange regarding allotment of Non-Convertible Debentures.,2026-05-12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/be340beb-c38b-4b31-8432-0fe2d860e9b9.pdf,,Competitor Intelligence — Funding & Capital,Kept,
91,BSE,Tata Capital Housing Finance,Tata Capital Limited has informed the exchange regarding allotment of Non-Convertible Debentures.,2026-05-12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ba3b90ae-380f-47c3-9349-c102e1238dd0.pdf,,Competitor Intelligence — Funding & Capital,Kept,
92,News (BusinessLine),Aavas Financiers,"Q4 Results Today Live: L&T, M&M, Hero MotoCorp, Coforge, SRF, United Breweries, Marico, Emcure, PNB, Poonawalla to announce Q4 results, Ambuja Cements, BHEL, Tata Tech, Aditya Birla Capital, Godrej Prop, CAMS, Exide, Ather & Quess Corp shares in focus",2026-05-05T03:37:39Z,https://www.thehindubusinessline.com/markets/q4-results-today-live-updates-lampt-mampm-hero-motocorp-coforge-srf-pnb-united-breweries-onward-tech-marico-emcure-ambuja-tata-tech-aether-bhel-results-05-may-2026/article70941295.ece,,Competitor Intelligence (via news),Signal-tagged but not selected,
93,News (BusinessLine),Aditya Birla Housing Finance,"Aditya Birla Capital reports 31% increase in Q4FY26 consolidated net profit at ₹1,129 crore",2026-05-04T16:22:47Z,https://www.thehindubusinessline.com/money-and-banking/aditya-birla-capital-reports-31-increase-in-q4fy26-consolidated-net-profit-at-1129-crore/article70939886.ece,,Competitor Intelligence (via news),Signal-tagged but not selected,
94,News (BusinessLine),Bajaj Finserv Home Loans,"NBFCs plan ₹15,000 crore in debt sales as yields decline",2026-05-08T08:37:38Z,https://www.thehindubusinessline.com/money-and-banking/nbfcs-plan-15000-crore-in-debt-sales-as-yields-decline/article70954553.ece,,(dropped),Scored but not selected,
95,News (BusinessLine),Cholamandalam Investment,Fund Call | Calm capital compounding,2026-05-02T16:30:59Z,https://www.thehindubusinessline.com/portfolio/mutual-funds/calm-capital-compounding/article70926134.ece,,(dropped),Scored but not selected,
96,News (BusinessLine),Cholamandalam Investment,Wait for the fog to clear first!,2026-05-02T16:31:09Z,https://www.thehindubusinessline.com/portfolio/stock-fundamental-analysis-india/wait-for-the-fog-to-clear-first/article70929156.ece,,(dropped),Scored but not selected,
97,News (BusinessLine),Cholamandalam Investment,Cholamandalam Investment and Finance Company sees 20-23% AUM growth in FY27,2026-05-05T10:33:42Z,https://www.thehindubusinessline.com/news/cholamandalam-investment-and-finance-company-sees-20-23-aum-growth-in-fy27/article70942470.ece,,Competitor Intelligence (via news),Signal-tagged but not selected,
98,News (BusinessLine),Cholamandalam Investment,"Q4 Results Today Live: Canara Bank, JSW Energy, IHCL, Abbott India, UPL, JB Chemicals, Nuvama Wealth, NIACL, Shyam Metalics, Syrma SGS Tech, Anant Raj, JBM Auto to announce Q4 results, SBI, Titan, TCP, Hyundai, MCX, Swiggy, BoB, Urban Company shares in focus",2026-05-11T03:32:46Z,https://www.thehindubusinessline.com/markets/q4-results-today-live-updates-canara-bank-jsw-energy-ihcl-abbott-upl-jb-nuvama-syrma-sgs-tech-anant-raj-jbm-auto-swiggy-sbi-hyundai-titan-tcp-mcx-results-11-may-2026/article70954948.ece,,(dropped),Scored but not selected,
99,News (BusinessLine),Cholamandalam Investment,"Q4 Results Today Highlights: Canara Bank Q4 profit dips, UPL, PVR Inox, Shyam Metalics profit rise, JSW Energy, IHCL, Abbott, JB Chemicals, Nuvama, Syrma SGS Tech, Anant Raj, JBM Auto to announce Q4 results",2026-05-11T15:43:41Z,https://www.thehindubusinessline.com/markets/q4-results-today-live-highlights-canara-bank-jsw-energy-ihcl-abbott-upl-jb-nuvama-syrma-sgs-tech-anant-raj-jbm-auto-swiggy-sbi-hyundai-titan-tcp-mcx-results-11-may-2026/article70954948.ece,,(dropped),Scored but not selected,
100,News (BusinessLine),HDFC Ltd,"Review of India's HDFC Bank finds no major governance concerns after chairman exit, sources say",2026-05-06T09:48:32Z,https://www.thehindubusinessline.com/money-and-banking/review-of-indias-hdfc-bank-finds-no-major-governance-concerns-after-chairman-exit-sources-say/article70946487.ece,,(dropped),Scored but not selected,
101,News (BusinessLine),Home First Finance,Sensex today | Stock Market Live Updates: Stock to buy today: Bharti Airtel,2026-05-04T01:05:53Z,https://www.thehindubusinessline.com/markets/sensex-nifty50-today-stock-market-live-updates-4th-may-2026/article70934863.ece,,(dropped),Scored but not selected,
102,News (BusinessLine),Home First Finance,"Q4 Results Today Live: BHEL, Ambuja Cements, Aditya Birla Capital, Godrej Properties, Sobha, Ather Energy, Tata Tech, Exide Ind, Jindal Stainless, KEI Ind to announce Q4 results, Kotak Mahindra, Avenue Supermarts, Netweb in focus",2026-05-04T03:31:31Z,https://www.thehindubusinessline.com/markets/q4-results-today-live-updates-bhel-ambuja-cements-aditya-birla-capital-godrej-properties-sobha-ather-energy-exide-jindal-kei-tata-tech-kotak-dmart-results-04-may-2026/article70928239.ece,,(dropped),Scored but not selected,
103,News (BusinessLine),Home First Finance,"Sensex today | Stock Market Highlights: Benchmark indices close firmer; Sensex settles 355 points higher at 77,269, Nifty up 121 points at 24,119",2026-05-04T10:47:21Z,https://www.thehindubusinessline.com/markets/sensex-nifty50-today-stock-market-highlights-4th-may-2026/article70934863.ece,,(dropped),Scored but not selected,
104,News (BusinessLine),Home First Finance,"Q4 Results Today Highlights: Ambuja Cements, Aditya Birla Capital, BHEL, Exide Industries, Petronet, Godrej Properties, Tata Tech, Sobha Q4 profits rise, Ather Energy narrows loss",2026-05-04T15:27:09Z,https://www.thehindubusinessline.com/markets/q4-results-today-highlights-bhel-ambuja-cements-aditya-birla-capital-godrej-properties-sobha-ather-energy-exide-jindal-kei-tata-tech-kotak-dmart-results-04-may-2026/article70928239.ece,,(dropped),Scored but not selected,
105,News (BusinessLine),Home First Finance,"Q4 Results Today Live: Bajaj Auto, Paytm, Shree Cement, Polycab, Radico, KPI, PB Fintech, Blue Star, Brigade, CG Power, Godrej Consumer, Hexaware Tech, KPIT Tech, Meesho to announce Q4 results, M&M, L&T, Hero Motocorp, Coforge, SRF, Poonawalla Fincorp shares in focus",2026-05-06T03:32:28Z,https://www.thehindubusinessline.com/markets/q4-results-today-live-updates-bajaj-auto-paytm-shree-cement-polycab-pb-fintech-blue-star-brigade-cg-power-godrej-hexaware-meesho-hero-moto-mahindra-larsen-results-06-may-2026/article70942469.ece,,(dropped),Scored but not selected,
106,News (BusinessLine),LIC Housing Finance,"The Latest Home Loan Interest Rates: May 01, 2026",2026-05-01T13:30:11Z,https://www.thehindubusinessline.com/money-and-banking/the-latest-home-loan-interest-rates-may-01-2026/article64808517.ece,,(dropped),Scored but not selected,
107,News (BusinessLine),LIC Housing Finance,"Manoj Kohli Joins Alt DRX’s Advisory Board, Asset Tokenisation in India Just Became Serious Business",2026-05-06T09:37:03Z,https://www.thehindubusinessline.com/brandhub/pr-release/manoj-kohli-joins-alt-drxs-advisory-board-asset-tokenisation-in-india-just-became-serious-business/article70946480.ece,,(dropped),Scored but not selected,
108,News (BusinessLine),LIC Housing Finance,Movers & Shakers: Stocks that will see action this week,2026-05-09T16:18:06Z,https://www.thehindubusinessline.com/portfolio/technical-analysis/movers-shakers-stocks-that-will-see-action-this-week/article70959129.ece,,(dropped),Scored but not selected,
109,News (BusinessLine),LIC Housing Finance,"Q4 Results Today Live: Bharti Airtel, TVS Motor, Power Finance, Tata Motors, DLF, Cipla, Oil India, HPCL, NLC India, TVS Holdings to announce Q4 results",2026-05-13T04:21:41Z,https://www.thehindubusinessline.com/markets/stock-markets/q4-results-today-live-updates-bharti-airtel-tvs-motor-power-finance-tata-motors-dlf-cipla-oil-india-hpcl-nlc-india-tvs-holdings-results-13-may-2026/article70972575.ece,,(dropped),Scored but not selected,
110,News (BusinessLine),LIC Housing Finance,"Q4 Results Today Highlights: HPCL posts net profit in FY26; Airtel declined by 33% , Tata Motors earns ₹2,406 crore",2026-05-13T15:56:16Z,https://www.thehindubusinessline.com/markets/stock-markets/q4-results-today-highlights-bharti-airtel-tvs-motor-power-finance-tata-motors-dlf-cipla-oil-india-hpcl-nlc-india-tvs-holdings-results-13-may-2026/article70972575.ece,,(dropped),Scored but not selected,
111,News (BusinessLine),LIC Housing Finance,"The Latest Home Loan Interest Rates: May 08, 2026",2026-05-14T06:39:23Z,https://www.thehindubusinessline.com/money-and-banking/the-latest-home-loan-interest-rates-may-08-2026/article64808517.ece,,(dropped),Scored but not selected,
112,News (Livemint),Aditya Birla Housing Finance,"May 2026 home loans: Bajaj Finserv, LIC Housing & 6 HFCs offer home loan rates starting from 7.15% onwards",2026-05-10T16:38:21Z,https://www.livemint.com/money/personal-finance/may-2026-home-loans-bajaj-finserv-lic-housing-6-hfcs-offer-home-loan-rates-starting-from-7-15-onwards-11778363623828.html,,Competitor Intelligence (via news),Signal-tagged but not selected,
113,News (Livemint),Bajaj Finserv Home Loans,"Aadhar Housing targets 20% growth in FY27, eyes ₹50,000 crore AUM in three years",2026-05-06T06:54:55Z,https://www.livemint.com/companies/news/aadhar-housing-targets-20-growth-in-fy27-eyes-50-000-crore-aum-in-three-years-blackstone-11778037971131.html,,(dropped),Scored but not selected,
114,News (Livemint),Can Fin Homes,"Corporate FD rates in May 2026: Shriram Finance, Mahindra Finance and other top NBFCs offer returns up to 8.95%",2026-05-11T10:37:15Z,https://www.livemint.com/money/personal-finance/corporate-fd-rates-in-may-2026-shriram-finance-mahindra-finance-and-other-top-nbfcs-offer-returns-up-to-895-11778490511027.html,,(dropped),Scored but not selected,
115,News (Livemint),Home First Finance,"Premji-backed Shubham Housing Finance begins talks for ₹2,000-crore IPO",2026-05-05T00:30:33Z,https://www.livemint.com/companies/shubham-housing-finance-ipo-premji-invest-valuations-creador-11777886928648.html,,Competitor Intelligence (via news),Signal-tagged but not selected,
116,NHB,Industry,"Aadhar Housing Finance FY26: PAT Rises 22%, AUM Crosses ₹30,000 Crore Mark - scanx.trade",2026-05-06,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNRE4za1FyNFZIelIybDFoMFREaE9hODJ2S3NRQ0h1LUNnLUk3RW9iX2ZiOU4zZmtiVDdXTS1ucGF3VXBlUHpvNE1IRmFnT254ajVaSzh6U0NzU2lzSWhaMGFBRXZPS0k3NWNTbUxocTJXSm42S2VvNTl6Tld3Ym5xdzgtZTNjV3Z6RXgwU3RwODdRbURQQlMyQ2JVWmM2eXJVMWtDRU5ndldPSUlkd0Z6aUQwTlAtOFFITVAtUGFHSGVFSmhHc1huckxvMkliLWFyZDhENG5PSTBMVFhFbkE5VTZMYlo?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
117,NHB,Industry,"Home First FY26 Profit ₹540 Crore; Approves ₹1000 Cr NCDs, ₹5.20 Dividend - Whalesbook",2026-05-06,https://news.google.com/rss/articles/CBMikgJBVV95cUxQcU5XUnM0OERiWmNFSGpLblhzdnc5azJYT25BbzRjNl9DdHAwSGl0X0kzaU5sbEhOQmYtU3BFZWV1dkVmVEp6RkRoU1dldlFWZU5yOW94S0FCaUt6SHNQYUNZNlBsMGx4Xy12Ymp2dHp4eHowaHg1eU1BbmVzeUJVMnpIVnRRN0xYVTY0M0V5aDd3djZsaFRfSU95Q2l2Z3NIeHhpQ2xQVlhMYnlSUHhxaTViYmFSb3RHWkEwLTEzS2JtdGh0ZElxeHhQTG9FTXRpMGlfN3hNNmx2QThuQmp1azZNaFdjX00wNkIyWmktRnhuVVk5dE43S3gyd0lJR3B6eTJIT3Bfb3VYMTU4eWNCbXJR?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
118,NHB,Industry,"Insight - The Editor’s Rundown: New roles, new models, new takes - Social Housing",2026-05-07,https://news.google.com/rss/articles/CBMinAFBVV95cUxNcWFXbGUxZGRwVWUxemQ0NkplaldTZjJsRE1uNm9aZS1nRDZrMmlTZnMxeVBmSVRiZ1pWcnlhZXNDRjFjelFsaExsUUJJV0xfTWk5N3RnbGtxenQ2QzNZakR6ZzU4MVB6UnVLWENfWW9GRnpvc1RjS2lMcjZQYi0tMlJTTE5UMVRqeWVPZlgwaDV6MVl1ZGxHZVlXOUI?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
119,NHB,Industry,Bassinvictus Private Limited Issues Letter of Intent for ₹200 Crores Equity Infusion and Majority Stake Acquisition in Star Housing Finance - India IPO,2026-05-08,https://news.google.com/rss/articles/CBMihwJBVV95cUxPZ2xBMnU2eVNIWHk0bXd0UHppM0FGOGU2OFVTRl9GVGtlSXlFMXNpX1l6NW1WOTktZUVBc1JQQkxqakhTTWhFVHhPZ0xNb09maTF3OXo4dWg3OGV2RVBDN2JMV0N6MndFT2l5ekdsZi1Tc3JpYjlxcjdTYVdFU3RUb2FtTkxWS1ZCWXFuMmYyNDAzQU9QMlJ2dElaWXhUVjNFczFfemdKZV9lRFU0Tnk2bWtiNmIxZ2tuRnFsdDF6bURULUVRc3F6NlZXeXpqVG1SMkpPeVZjR1FYU2dlX244M1NzOHNXWFBnNkJ5QzZxbzVwbUtHZk1hUzE2RU94ZkE2VElHdlE2aw?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
120,NHB,Industry,Star Housing Finance Eyes ₹200 Cr Equity Infusion from Bassinvictus - Whalesbook,2026-05-08,https://news.google.com/rss/articles/CBMi_AFBVV95cUxQS3htSDNwSWNBcWttSnB2NWE4b0JHT1BuaVNDNl83QjlqWXljZ2lBbWRxcGRjaHZ1VEphVFNKV0pRcF8xeDRTYWR3aE5vRlloelFPZXJ5Q2NKeWFQYWt3TXhXNm5BUTg2dHRNSWk4OXFpQ05lMkVUZ3c0OVFhanBuY0NIdWlONTdpVXJjSnB4UHVVNWhvTUpRam1CSi1jaEpGdDE2bEhxQ25QM0I2TVRLUmY3Y3RBMk5UNk1USnEtNWd5VmgxbXlwcWhFWFFwVnB1cHJYSG5MNFdlZEpJZ1Utdy1ieC1IYUlvM3dIeWRsdVpJMlpyMjNpbDVkSTI?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
121,NHB,Industry,LIC Housing Finance Seeks New COO After Dr. Sanjay Dayal's Sudden Death - Whalesbook,2026-05-10,https://news.google.com/rss/articles/CBMi7AFBVV95cUxPV1d2ek1WNVJkcjQzZDBXb25TejNJeUJsbjMxeDF2NXNxZkZoNXR0d21Ib1BiZ0lzcGhTbHlkbHNtc2lsQWdwZmlqYzU0UFhKU0I4ZFpteWtnalZwZ0VXTGozQ1ZUdHRLLWJxd3hCdHZSbE1TeFhEMm02anVhcDJNRmdNRTctaTRyOVpxT1lHZEVDSFhaNGJfcGo2RVhrOWhDS29CTld0UURnQjM2dWMxUzRtLWt1YVNldGlkWDRNTjAwc3hhOC1OYmczZERoNmdpX2RqRjBzai1KY1VnMDVKbjZIdkFYYmNDT2pQVA?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
122,NHB,Industry,Starlight secures £100m cornerstone investment from National Housing Bank - Property Week,2026-05-12,https://news.google.com/rss/articles/CBMilgFBVV95cUxNNXdFRWM2WkI4eE9KV3ExS1R3eGI4LUhTMkpadmtMdzV5UTNlSzU2Y2hGbmhDaWNEUW9WREtRMGFhTEhIak13NUMydlpPMTZLbjNuLXQzLVFYQWRnM2hkMTlIOVJTME02TlZIblJydV9GQU5faDN2X2lfeXJFekVmOXdGTmNvb3FVWHNiX01IaGxPbWZWZFE?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
123,NHB,Industry,London emergency housebuilding measures – the ‘what’ and the ‘why’ behind the GLA’s latest intervention in housing - Addleshaw Goddard LLP,2026-05-12,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNMlhLTGltbW81LWlSdjBicjFEOE9NY2NnTWZxRHpRMTRjVUd3N19NY0ZCbHNhNWlSTjk3RzRwZS10aTJDOXlEazlsM3pTTFlsdlZMX2N2YjFLNWJTVFNiVnFqU09vbVJiMFk0amR1NUtzWEFVYWdJejZyZnZZMUV5QmtqNFdLOHhUNkRsTEd5ZGxIYjBObS05UGhtZ0dDZVpneEdZZkoxLTBERUFpbVFmV2twRGZnd0dZTV9mb3JQQ0hGOFI4c0Q1eGR5UGFsODNFVk5FUXV4Q2Z0VTdOVDEyQnNjam9wc3UtU2c?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
124,NHB,Industry,"National Housing Bank invests £100m in build-to-rent investor's 6,000-home pipeline - Housing Today",2026-05-13,https://news.google.com/rss/articles/CBMizAFBVV95cUxOX0N4MGNFZkhBX3ZVQnpYN29rd01IX1I2aFl6ZFdIbVJuV0lIaUFVbC1uYXlFRmJFQWl0TGh4WmZ1dmtrQktJSHZoZElCZnA2cHh4UjRRWHdmbzFydGxESkozSnpuRjhSX3owSEZfQXRjeV9TNGJwdUllYUE0OVFPbFFNZFRPUHFyV2NmNHptTTFSdHRXYTFsMURTdWVKQUxPc01jRXJDQlMtd2Y4ZlNWQ3ZmV3RSUDNQMkp0ZUlQRmNQOTZYdFJjaU91ZjM?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
125,NHB,Industry,Promoters Flag ₹120 Crore Transaction Mismatch Before Regulator - lokmattimes.com,2026-05-13,https://news.google.com/rss/articles/CBMiqwFBVV95cUxORmtoNmdtV05YNEIzcElhRTUzaW9PdEEzRTlWUUIwVlNFanFrQlJsUXNacTFQRW5CV1JVMGZLMWRhUnRFcHdXNU9oenNDMkNOenVWaUhfc0FtX19DT2kxX3dDNXJ3ay12WF9vSFF0czNxQUg0cFM0eWhib2pkR2s5UWlqbTM1VzNhREprUGdWak5kZERQUVUzX2RiYkJ2cXUtSUYzYkFfeEVyOXfSAbABQVVfeXFMTlh3YzZ5Ry1DUUZCRUk5QTYzZHg1ekxfMnlfcE5MbW5XcUJJMUEwYldrV0pHSTlESFAyRkhrdFNkblVjWnA1U2tsTmtvM201aldFZU5fRUdYTjNTOXFqZVVSUENCck93TUhxcDB1YmJaTjZsVHpYUHJhQVJWaS1GaGlncEt6OGt4UWNEQWctYVNKbmxyYU50LXhmYThHajZsREJkRERmc2lNWFBobjRqTTY?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
126,News (PRNewswire),Cholamandalam Investment,CenterSquare Investment Management Names Nevin Torres as a Senior Vice President in Capital Markets,2026-05-08T13:00:00Z,https://www.prnewswire.com/news-releases/centersquare-investment-management-names-nevin-torres-as-a-senior-vice-president-in-capital-markets-302766340.html,,(dropped),Scored but not selected,
127,RBI,Industry,Aadhar Housing Finance Confirms Full IPO Proceeds Utilization in Q4FY26 - scanx.trade,2026-05-05,https://news.google.com/rss/articles/CBMi7AFBVV95cUxObVA1ZHNjMjBVQjBoRllHUjNvR2Q5Z0ZtSVpJOG9DM1VTLXhELXQ3Tzdrc2VlYTVpd29mdllobGF5WHdMM2ZXRXY1UU1CSldJNk53MkJsQ3N1bU9EX01sRm5WNlU2TnExVV93TG9Sa19ySHdTbXZCYk1JZ0RpSFZUZzN5UkxNX05OamM0b2RDZXI1U1laa2xUY3Z6MDRrVkkydGN1b2UyOTU3SW5iVVRfWTR2dEZGcEJsVWxXMVl6T3gtVmpFTVlvZVZXWVBpcmg1NGxXMVRTTjlHRkRRdDdCUFRpdDhXNFh2c3FELQ?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
128,RBI,Industry,"Aadhar Housing Finance Confirms All IPO & NCD Funds Used, No Deviations - Whalesbook",2026-05-05,https://news.google.com/rss/articles/CBMi9AFBVV95cUxNdFBXdGxBS0xTa2JDLVhic2NxM1JfYnZ6Nmxla0phTVVTcWozTFU1Z1dKSDFkaUZrOTNINFlTNWVSLWtmZDlnSW9sRXRFaTVxVU5Malc1YTNFR2ViWGNnNkdSY2NoUEZiZmZTaERja2I1b3QxS0l5MURIeVJuZU5QYkZyMDZ1djg3LUI0eGRkZWZ5djlXaC1tMHU3bHRodUFac1dtZDdYeFdVbXk2aWpTV2puSFc3RF9OOXFIekhCclBTcFZxalowTWw5SHlmVEgta19GNGpQV1hweHljdl9paUV4b0xVbmV4MXZoeHpPa2hnTS1I?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
129,RBI,Industry,"RBI rate cuts partly passed on to borrowers in FY26, lending rates fall but not fully: Report - India's News.Net",2026-05-05,https://news.google.com/rss/articles/CBMizgFBVV95cUxNUXlMYTd0MXdXM2NuNFpHeHMtUHQwbnplQWlwYlBSc3JDSTJKWnljc25sRnhHRkk1c3IwUzB0U2ktSHF3bkwySkIyYmh1YUVvNnBSd3ZZRUtuM3REZlNJTUFwN0xoYVc4UDlkeGplNWRXWjRBZXpTbkN4Tmc2ZWpoNl9FQV95OHZ1N3Q0N3ZQVk9lOE5hVlVrQWI1cjllS1hWbkhEeDhoNFVaWmhBNzUydktPSUJjb3dubnljUHVIUEVzMjExbnJFN1VOcGRJUQ?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
130,RBI,Industry,"Aadhar Housing eyes ₹50,000 crore asset base by FY29, driven by demand from smaller cities - CNBC TV18",2026-05-06,https://news.google.com/rss/articles/CBMitgJBVV95cUxQSjkxNzJQaW1kclB6cWNJbHVxcWZZY3ByczF1Ti14YmZpVUFOZmh4ZVRGWmdORi1DaHZna0ZhUWRkcWxaRWd6UXNJUTI5dFlwZWFfYXdBNzk3aU5YS0RjSUNVYTJhaDZKemV2R1puZkpmMGVhOUdPYk9wYmpBbHBZOTU1TkVrM1U2UUs3NmQtek5xU2xPM3RoN1RFOGlLQzhiUmFTVTBoNjM4N09zUnZTTkVhaVA3bnd0LS13UXFyaDVWUWNSR3RrdHpMWUNZc0ZjNFJBelRYUHBYRzczUm9iWnlSSmw4SlpNbF9IMUs5V083ODZRX1pBcDVQcW5tRjdkdXBDQ29iSUJrNGdpdlVPT1JKdTBGQ3dLRHV0OFRJSVRBTUlGbzZFZVhvQjlFMnNfUFVOOGl30gG7AkFVX3lxTE05RnZFMTlVSjAxMy02X0Fqd09DUUNrZ1JuSVV0UXpqbU5LMTgtU29KaE5zWnNZYVd2TGJrSzZZMktTbFJlYUtUc2Z1MlZ5dVZIZ0UxQ2ZUYkFlaFNGR0h2N3VZQ1NvNWFwbmwxcDdqbV8ydVpVZnZLdEJTbTg1MUt2bDN0a0x2UGlmQWxwNU5VaHZSazhGVHlkM2trS19KRG9ZNmRjZ3JpQmlGRmZJbWRSQ20zdGR5UkRPZDhBanJtRmx5SDUyakpnWk9GWHNKWThKa1A4elR5OEZ0RXgxRnlHWmpzd0djeUh0emlKN2k2WnBZVTBsSlNweUQzTHJ6WldST0kwMGlKXzQ2RUpjeFVXeFFnNHFFRzJHU0REbXBEbTA1WmZueU9xaE9FNnpuQmVOT29nQnVWamhwMA?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
131,RBI,Industry,Aadhar Housing Finance Recommends Appointment of M/s. N M Raiji & Co as Joint Statutory Auditor - scanx.trade,2026-05-06,https://news.google.com/rss/articles/CBMiigJBVV95cUxPZXd2cWtqS3BsRENPWElTcEpfUUpIck9zSnNoQmpfTHEwMkNzaDFwZWZDQlhTS2VKQ2p0M094TVI1VXBkYlZYOGg5RWRVQ2lqTzFoLTRBSjlBQk5vLVRucmZNV29ONHhrS2tSTF84YlBEaEdwUFVHa3RHU29ZbktvSlpyY0h2cDVUTmF1Z3YwRGozVFd4NDhXTHo3UTgtcXlFLWFEZDlRVXlDZG1BY0Utb1BmRUJaTXdMT3hjYXhOdkhPWWJsdjE3RnVCUmRid08tSHhVcHVKbUNlUk9IeVRDb3gza185TGdOQzJGY1d1Wks4YlBSZWdlQnNrUXR6ZWFhMU5tYXpJR2kxZw?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
132,RBI,Industry,Aadhar Housing Finance Releases Q4FY26 Earnings Call Audio Recording - scanx.trade,2026-05-06,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQLVhUNDVydTN4Q2szeVBYM3h6M3h2OEFwWHNjUHJZNUVhMVlTZFRTRndSWkV6WTJwNGQxcUVyclROSGJqQ0RTMVB4ZF8yWkp0ZEI0WVhoTjNBTjJHZEtpbnlzbHRBSVprZnpTVXkzMFVmSjhUQ0VUb016TThSQ3N0WVBsSUZjRG1qNnJ3aTlfSXlxU1ZMYlItVWtSRHFFeW5ucjF4U3R4ZUZaNVhVbnhCUF8tUnpyUjluQlZQeWtleFdWMXVPTmJNLW5fU2p0VC1VNWNrbXZqdjd4cDJHa0Fv?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
133,RBI,Industry,Don’t Fall for Loan Waiver Scams: RBI Issues Fresh Warning - Studycafe,2026-05-06,https://news.google.com/rss/articles/CBMikwFBVV95cUxNbXRzUnZQTFFRWjRsNXJhM2hJdUNtdVA4Y2djZ2RJV2lEYW1IMUNuai1RVGQ5R0w5akVYYUlvMFZoRGNINzJpc19XTnVONDVVNG12aFpPU09paGZNa18xWDc3c1FaSWpkaURvLWhrV0tpNzY5b1FPa1dCd3l4ODdLR2VEREpaX2lMZWJ1TkFrOUdCVnc?oc=5,openai / llama3.1:8b,Industry Pulse / Regulatory Watch (policy feed),Considered,
